Time_ID,Start_Date,End_Date
1114,1-Jan-01,7-Jan-01
1115,8-Jan-01,14-Jan-01
1116,15-Jan-01,21-Jan-01
1117,22-Jan-01,28-Jan-01
1118,29-Jan-01,4-Feb-01
1119,5-Feb-01,11-Feb-01
1120,12-Feb-01,18-Feb-01
1121,19-Feb-01,25-Feb-01
1122,26-Feb-01,4-Mar-01
1123,5-Mar-01,11-Mar-01
1124,12-Mar-01,18-Mar-01
1125,19-Mar-01,25-Mar-01
1126,26-Mar-01,1-Apr-01
1127,2-Apr-01,8-Apr-01
1128,9-Apr-01,15-Apr-01
1129,16-Apr-01,22-Apr-01
1130,23-Apr-01,29-Apr-01
1131,30-Apr-01,6-May-01
1132,7-May-01,13-May-01
1133,14-May-01,20-May-01
1134,21-May-01,27-May-01
1135,28-May-01,3-Jun-01
1136,4-Jun-01,10-Jun-01
1137,11-Jun-01,17-Jun-01
1138,18-Jun-01,24-Jun-01
1139,25-Jun-01,1-Jul-01
1140,2-Jul-01,8-Jul-01
1141,9-Jul-01,15-Jul-01
1142,16-Jul-01,22-Jul-01
1143,23-Jul-01,29-Jul-01
1144,30-Jul-01,5-Aug-01
1145,6-Aug-01,12-Aug-01
1146,13-Aug-01,19-Aug-01
1147,20-Aug-01,26-Aug-01
1148,27-Aug-01,2-Sep-01
1149,3-Sep-01,9-Sep-01
1150,10-Sep-01,16-Sep-01
1151,17-Sep-01,23-Sep-01
1152,24-Sep-01,30-Sep-01
1153,1-Oct-01,7-Oct-01
1154,8-Oct-01,14-Oct-01
1155,15-Oct-01,21-Oct-01
1156,22-Oct-01,28-Oct-01
1157,29-Oct-01,4-Nov-01
1158,5-Nov-01,11-Nov-01
1159,12-Nov-01,18-Nov-01
1160,19-Nov-01,25-Nov-01
1161,26-Nov-01,2-Dec-01
1162,3-Dec-01,9-Dec-01
1163,10-Dec-01,16-Dec-01
1164,17-Dec-01,23-Dec-01
1165,24-Dec-01,30-Dec-01
1166,31-Dec-01,6-Jan-02
1167,7-Jan-02,13-Jan-02
1168,14-Jan-02,20-Jan-02
1169,21-Jan-02,27-Jan-02
1170,28-Jan-02,3-Feb-02
1171,4-Feb-02,10-Feb-02
1172,11-Feb-02,17-Feb-02
1173,18-Feb-02,24-Feb-02
1174,25-Feb-02,3-Mar-02
1175,4-Mar-02,10-Mar-02
1176,11-Mar-02,17-Mar-02
1177,18-Mar-02,24-Mar-02
1178,25-Mar-02,31-Mar-02
1179,1-Apr-02,7-Apr-02
1180,8-Apr-02,14-Apr-02
1181,15-Apr-02,21-Apr-02
