,0_1_25293_60025,0_1_25293_60027,0_1_25293_60039,0_1_28000_58454,0_1_49900_27268,0_2_25293_60037,0_2_28000_24610,7_1_42365_22800,7_1_42365_22820,7_1_42365_22840,7_1_42365_26400,7_1_42365_26410,7_1_42365_26420,7_1_42365_26440,88_6_99998_59442,88_6_99998_59443,88_6_99998_59444,88_6_99998_59461,88_6_99998_59486,88_6_99998_59492,88_6_99998_59494,88_6_99998_59504,88_6_99998_59509,88_6_99998_59518,88_6_99998_59519,88_6_99998_59520,88_6_99998_59525,88_6_99998_59546,88_6_99998_59547,88_6_99998_59548,88_6_99998_59549,88_6_99998_59597,88_6_99998_59601,88_6_99998_59649,88_6_99998_59651,88_6_99998_59689
Discount,0.6940165285644287,1.0348455807038033,1.081286976876716,1.145268229221659,0.0,0.5051383156804843,1.2758804559279506,0.0,0.0,0.0,1.5840727732850886,1.008172850222575,1.5297955573858306,1.3705507940325279,0.0,0.0,0.0,0.1333160592925608,0.0,0.0,0.0,0.0,0.5808826699464446,0.0,0.0,0.0,0.0,0.0,0.0,0.030858554527254185,0.0,1.0775005979086412,0.5975346597744826,1.6358991441511537,0.0,1.1762400823348738
Feature,0.0,0.19962441310174942,0.04757550492514446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09836838464771996,0.13393941242928878,0.15247351755671468,0.13108717777949125,0.0,0.0,0.0,0.0,0.01102731966529236,0.0,0.020724572546696476,0.0,0.04392008161045154,0.0,0.0,0.05660249813557267,0.01751734498913271,0.0,0.09760744264356755,0.009750740432061247,0.0,0.1848348473003081,0.0,0.05769660900912912,0.17432445935960972,0.3027173686870683
Display,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Discountlag,0.0,0.0,0.0,0.29169260435632943,0.0,0.0,0.0,0.0,0.0,0.0,0.21153323773865085,0.0,0.0,0.0,0.0,0.0,0.0,0.06728935773416131,0.0007163211965511947,0.0870609883657332,0.0,0.0,0.4560538076121272,0.0,0.0,0.06922977507877681,0.0,0.0,0.0,0.0,0.0,0.5074817495540863,0.0,1.205558528002796,0.20252099203876905,0.23483651079126708
Featurelag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02298224271211332,0.015993670444172724,0.0,0.0,0.0,0.0,0.12204997536952958,0.011563546682815685,0.0,0.0,0.0,0.0,0.0,0.011818123783065878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Displaylag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saleslag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028092213158348072,0.017284365854100935,0.0
Sales_mov_avg,0.6590355917028933,0.4432111992003456,0.5562767029035874,0.3920921778022152,0.6822231199452365,0.6355704936854666,0.2749819476670498,0.9352474027228052,0.854774865900203,0.7635214112635362,0.5150683551364428,0.5547282913358786,0.5911563604535696,0.6376601693981064,0.4620877087393671,0.932913370314382,0.8709447865267987,0.9524364010223996,0.8914426050535774,0.706911752319453,0.8618373102186672,0.8956750000506749,0.9931754330111209,0.6164955747889879,0.9528262691547557,0.9118655758699891,0.850495812305898,0.732173843915189,0.9076188022610887,0.8322576220384319,0.9663348953057633,0.9606315432874277,0.6490955371716748,0.5900528717380389,0.7004545199557438,0.860641198857634
Halloween,0.0,0.0,0.09734663426412024,0.0,0.0,0.0,0.0,0.06372455507461859,0.0,0.032528354228637105,0.23719382750363732,0.0,0.13646550347770925,0.11802228605877293,0.0,0.0,0.0,0.0,0.001849696129441163,0.0,0.0,0.0,0.0,0.0,0.0,0.03630278788350757,0.0,0.0,0.0,0.0,0.0,0.33366102727702945,0.0,0.0,0.0,0.09124075968169362
Halloween_1,0.0,0.0,0.1714016925653924,0.0,0.0,0.0,0.0,0.012738367034294769,0.0,0.03289488069397156,0.05332371302445742,0.12819327025786506,0.0014033329162554972,0.009023512591599142,0.0,0.0,0.007456086961026997,0.0,0.0,0.05411842247966825,0.0,0.0,0.00467263586539589,0.0,0.0,0.010219614904461636,0.012738833446853483,0.0,0.048689206895874235,0.0,0.0,0.36185150908146974,0.0,0.19691556961143447,0.0,0.049194496970342054
