name,label,new_name
649405_0_1_25293_60025-UNITS,NULL,Sales_001
649405_0_1_25293_60027-UNITS,NULL,Sales_002
649405_0_1_25293_60029-UNITS,NULL,Sales_003
649405_0_1_25293_60031-UNITS,NULL,Sales_004
649405_0_1_25293_60039-UNITS,NULL,Sales_005
649405_0_1_28000_50420-UNITS,NULL,Sales_006
649405_0_1_28000_58454-UNITS,NULL,Sales_007
649405_0_1_34000_81510-UNITS,NULL,Sales_008
649405_0_1_34500_61418-UNITS,NULL,Sales_009
649405_0_1_34500_61419-UNITS,NULL,Sales_010
649405_0_1_34500_61421-UNITS,NULL,Sales_011
649405_0_1_34500_62267-UNITS,NULL,Sales_012
649405_0_1_34500_62268-UNITS,NULL,Sales_013
649405_0_1_34500_63026-UNITS,NULL,Sales_014
649405_0_1_34500_63027-UNITS,NULL,Sales_015
649405_0_1_34500_65311-UNITS,NULL,Sales_016
649405_0_1_34500_65312-UNITS,NULL,Sales_017
649405_0_1_34500_65313-UNITS,NULL,Sales_018
649405_0_1_34500_65314-UNITS,NULL,Sales_019
649405_0_1_34500_65601-UNITS,NULL,Sales_020
649405_0_1_34500_65701-UNITS,NULL,Sales_021
649405_0_1_34500_65703-UNITS,NULL,Sales_022
649405_0_1_34500_65706-UNITS,NULL,Sales_023
649405_0_1_34500_65707-UNITS,NULL,Sales_024
649405_0_1_41900_6574-UNITS,NULL,Sales_025
649405_0_1_84253_27010-UNITS,NULL,Sales_026
649405_0_1_93966_15-UNITS,NULL,Sales_027
649405_0_1_93966_16-UNITS,NULL,Sales_028
649405_0_1_93966_17-UNITS,NULL,Sales_029
649405_0_1_93966_51300-UNITS,NULL,Sales_030
649405_0_1_93966_51400-UNITS,NULL,Sales_031
649405_0_1_93966_51500-UNITS,NULL,Sales_032
649405_0_1_93966_51600-UNITS,NULL,Sales_033
649405_0_2_25293_60037-UNITS,NULL,Sales_034
649405_0_2_28000_24610-UNITS,NULL,Sales_035
649405_0_2_34500_61420-UNITS,NULL,Sales_036
649405_0_2_34500_62101-UNITS,NULL,Sales_037
649405_0_2_34500_62192-UNITS,NULL,Sales_038
649405_0_2_34500_62214-UNITS,NULL,Sales_039
649405_0_2_34500_64901-UNITS,NULL,Sales_040
649405_0_2_41483_2439-UNITS,NULL,Sales_041
649405_0_2_41900_4289-UNITS,NULL,Sales_042
649405_0_3_34500_61101-UNITS,NULL,Sales_043
649405_0_3_34500_64910-UNITS,NULL,Sales_044
649405_88_6_99998_59462-UNITS,NULL,Sales_045
649405_88_6_99998_59487-UNITS,NULL,Sales_046
649405_88_6_99998_59510-UNITS,NULL,Sales_047
649405_0_1_25293_60025-PR,NULL,Discount_001
649405_0_1_25293_60027-PR,NULL,Discount_002
649405_0_1_25293_60029-PR,NULL,Discount_003
649405_0_1_25293_60031-PR,NULL,Discount_004
649405_0_1_25293_60039-PR,NULL,Discount_005
649405_0_1_28000_50420-PR,NULL,Discount_006
649405_0_1_28000_58454-PR,NULL,Discount_007
649405_0_1_34000_81510-PR,NULL,Discount_008
649405_0_1_34500_61418-PR,NULL,Discount_009
649405_0_1_34500_61419-PR,NULL,Discount_010
649405_0_1_34500_61421-PR,NULL,Discount_011
649405_0_1_34500_62267-PR,NULL,Discount_012
649405_0_1_34500_62268-PR,NULL,Discount_013
649405_0_1_34500_63026-PR,NULL,Discount_014
649405_0_1_34500_63027-PR,NULL,Discount_015
649405_0_1_34500_65311-PR,NULL,Discount_016
649405_0_1_34500_65312-PR,NULL,Discount_017
649405_0_1_34500_65313-PR,NULL,Discount_018
649405_0_1_34500_65314-PR,NULL,Discount_019
649405_0_1_34500_65601-PR,NULL,Discount_020
649405_0_1_34500_65701-PR,NULL,Discount_021
649405_0_1_34500_65703-PR,NULL,Discount_022
649405_0_1_34500_65706-PR,NULL,Discount_023
649405_0_1_34500_65707-PR,NULL,Discount_024
649405_0_1_41900_6574-PR,NULL,Discount_025
649405_0_1_84253_27010-PR,NULL,Discount_026
649405_0_1_93966_15-PR,NULL,Discount_027
649405_0_1_93966_16-PR,NULL,Discount_028
649405_0_1_93966_17-PR,NULL,Discount_029
649405_0_1_93966_51300-PR,NULL,Discount_030
649405_0_1_93966_51400-PR,NULL,Discount_031
649405_0_1_93966_51500-PR,NULL,Discount_032
649405_0_1_93966_51600-PR,NULL,Discount_033
649405_0_2_25293_60037-PR,NULL,Discount_034
649405_0_2_28000_24610-PR,NULL,Discount_035
649405_0_2_34500_61420-PR,NULL,Discount_036
649405_0_2_34500_62101-PR,NULL,Discount_037
649405_0_2_34500_62192-PR,NULL,Discount_038
649405_0_2_34500_62214-PR,NULL,Discount_039
649405_0_2_34500_64901-PR,NULL,Discount_040
649405_0_2_41483_2439-PR,NULL,Discount_041
649405_0_2_41900_4289-PR,NULL,Discount_042
649405_0_3_34500_61101-PR,NULL,Discount_043
649405_0_3_34500_64910-PR,NULL,Discount_044
649405_88_6_99998_59462-PR,NULL,Discount_045
649405_88_6_99998_59487-PR,NULL,Discount_046
649405_88_6_99998_59510-PR,NULL,Discount_047
649405_0_1_25293_60025-price,NULL,Price_001
649405_0_1_25293_60027-price,NULL,Price_002
649405_0_1_25293_60029-price,NULL,Price_003
649405_0_1_25293_60031-price,NULL,Price_004
649405_0_1_25293_60039-price,NULL,Price_005
649405_0_1_28000_50420-price,NULL,Price_006
649405_0_1_28000_58454-price,NULL,Price_007
649405_0_1_34000_81510-price,NULL,Price_008
649405_0_1_34500_61418-price,NULL,Price_009
649405_0_1_34500_61419-price,NULL,Price_010
649405_0_1_34500_61421-price,NULL,Price_011
649405_0_1_34500_62267-price,NULL,Price_012
649405_0_1_34500_62268-price,NULL,Price_013
649405_0_1_34500_63026-price,NULL,Price_014
649405_0_1_34500_63027-price,NULL,Price_015
649405_0_1_34500_65311-price,NULL,Price_016
649405_0_1_34500_65312-price,NULL,Price_017
649405_0_1_34500_65313-price,NULL,Price_018
649405_0_1_34500_65314-price,NULL,Price_019
649405_0_1_34500_65601-price,NULL,Price_020
649405_0_1_34500_65701-price,NULL,Price_021
649405_0_1_34500_65703-price,NULL,Price_022
649405_0_1_34500_65706-price,NULL,Price_023
649405_0_1_34500_65707-price,NULL,Price_024
649405_0_1_41900_6574-price,NULL,Price_025
649405_0_1_84253_27010-price,NULL,Price_026
649405_0_1_93966_15-price,NULL,Price_027
649405_0_1_93966_16-price,NULL,Price_028
649405_0_1_93966_17-price,NULL,Price_029
649405_0_1_93966_51300-price,NULL,Price_030
649405_0_1_93966_51400-price,NULL,Price_031
649405_0_1_93966_51500-price,NULL,Price_032
649405_0_1_93966_51600-price,NULL,Price_033
649405_0_2_25293_60037-price,NULL,Price_034
649405_0_2_28000_24610-price,NULL,Price_035
649405_0_2_34500_61420-price,NULL,Price_036
649405_0_2_34500_62101-price,NULL,Price_037
649405_0_2_34500_62192-price,NULL,Price_038
649405_0_2_34500_62214-price,NULL,Price_039
649405_0_2_34500_64901-price,NULL,Price_040
649405_0_2_41483_2439-price,NULL,Price_041
649405_0_2_41900_4289-price,NULL,Price_042
649405_0_3_34500_61101-price,NULL,Price_043
649405_0_3_34500_64910-price,NULL,Price_044
649405_88_6_99998_59462-price,NULL,Price_045
649405_88_6_99998_59487-price,NULL,Price_046
649405_88_6_99998_59510-price,NULL,Price_047
649405_0_1_25293_60025-D1,NULL,Display1_001
649405_0_1_25293_60027-D1,NULL,Display1_002
649405_0_1_25293_60029-D1,NULL,Display1_003
649405_0_1_25293_60031-D1,NULL,Display1_004
649405_0_1_25293_60039-D1,NULL,Display1_005
649405_0_1_28000_50420-D1,NULL,Display1_006
649405_0_1_28000_58454-D1,NULL,Display1_007
649405_0_1_34000_81510-D1,NULL,Display1_008
649405_0_1_34500_61418-D1,NULL,Display1_009
649405_0_1_34500_61419-D1,NULL,Display1_010
649405_0_1_34500_61421-D1,NULL,Display1_011
649405_0_1_34500_62267-D1,NULL,Display1_012
649405_0_1_34500_62268-D1,NULL,Display1_013
649405_0_1_34500_63026-D1,NULL,Display1_014
649405_0_1_34500_63027-D1,NULL,Display1_015
649405_0_1_34500_65311-D1,NULL,Display1_016
649405_0_1_34500_65312-D1,NULL,Display1_017
649405_0_1_34500_65313-D1,NULL,Display1_018
649405_0_1_34500_65314-D1,NULL,Display1_019
649405_0_1_34500_65601-D1,NULL,Display1_020
649405_0_1_34500_65701-D1,NULL,Display1_021
649405_0_1_34500_65703-D1,NULL,Display1_022
649405_0_1_34500_65706-D1,NULL,Display1_023
649405_0_1_34500_65707-D1,NULL,Display1_024
649405_0_1_41900_6574-D1,NULL,Display1_025
649405_0_1_84253_27010-D1,NULL,Display1_026
649405_0_1_93966_15-D1,NULL,Display1_027
649405_0_1_93966_16-D1,NULL,Display1_028
649405_0_1_93966_17-D1,NULL,Display1_029
649405_0_1_93966_51300-D1,NULL,Display1_030
649405_0_1_93966_51400-D1,NULL,Display1_031
649405_0_1_93966_51500-D1,NULL,Display1_032
649405_0_1_93966_51600-D1,NULL,Display1_033
649405_0_2_25293_60037-D1,NULL,Display1_034
649405_0_2_28000_24610-D1,NULL,Display1_035
649405_0_2_34500_61420-D1,NULL,Display1_036
649405_0_2_34500_62101-D1,NULL,Display1_037
649405_0_2_34500_62192-D1,NULL,Display1_038
649405_0_2_34500_62214-D1,NULL,Display1_039
649405_0_2_34500_64901-D1,NULL,Display1_040
649405_0_2_41483_2439-D1,NULL,Display1_041
649405_0_2_41900_4289-D1,NULL,Display1_042
649405_0_3_34500_61101-D1,NULL,Display1_043
649405_0_3_34500_64910-D1,NULL,Display1_044
649405_88_6_99998_59462-D1,NULL,Display1_045
649405_88_6_99998_59487-D1,NULL,Display1_046
649405_88_6_99998_59510-D1,NULL,Display1_047
649405_0_1_25293_60025-D2,NULL,Display2_001
649405_0_1_25293_60027-D2,NULL,Display2_002
649405_0_1_25293_60029-D2,NULL,Display2_003
649405_0_1_25293_60031-D2,NULL,Display2_004
649405_0_1_25293_60039-D2,NULL,Display2_005
649405_0_1_28000_50420-D2,NULL,Display2_006
649405_0_1_28000_58454-D2,NULL,Display2_007
649405_0_1_34000_81510-D2,NULL,Display2_008
649405_0_1_34500_61418-D2,NULL,Display2_009
649405_0_1_34500_61419-D2,NULL,Display2_010
649405_0_1_34500_61421-D2,NULL,Display2_011
649405_0_1_34500_62267-D2,NULL,Display2_012
649405_0_1_34500_62268-D2,NULL,Display2_013
649405_0_1_34500_63026-D2,NULL,Display2_014
649405_0_1_34500_63027-D2,NULL,Display2_015
649405_0_1_34500_65311-D2,NULL,Display2_016
649405_0_1_34500_65312-D2,NULL,Display2_017
649405_0_1_34500_65313-D2,NULL,Display2_018
649405_0_1_34500_65314-D2,NULL,Display2_019
649405_0_1_34500_65601-D2,NULL,Display2_020
649405_0_1_34500_65701-D2,NULL,Display2_021
649405_0_1_34500_65703-D2,NULL,Display2_022
649405_0_1_34500_65706-D2,NULL,Display2_023
649405_0_1_34500_65707-D2,NULL,Display2_024
649405_0_1_41900_6574-D2,NULL,Display2_025
649405_0_1_84253_27010-D2,NULL,Display2_026
649405_0_1_93966_15-D2,NULL,Display2_027
649405_0_1_93966_16-D2,NULL,Display2_028
649405_0_1_93966_17-D2,NULL,Display2_029
649405_0_1_93966_51300-D2,NULL,Display2_030
649405_0_1_93966_51400-D2,NULL,Display2_031
649405_0_1_93966_51500-D2,NULL,Display2_032
649405_0_1_93966_51600-D2,NULL,Display2_033
649405_0_2_25293_60037-D2,NULL,Display2_034
649405_0_2_28000_24610-D2,NULL,Display2_035
649405_0_2_34500_61420-D2,NULL,Display2_036
649405_0_2_34500_62101-D2,NULL,Display2_037
649405_0_2_34500_62192-D2,NULL,Display2_038
649405_0_2_34500_62214-D2,NULL,Display2_039
649405_0_2_34500_64901-D2,NULL,Display2_040
649405_0_2_41483_2439-D2,NULL,Display2_041
649405_0_2_41900_4289-D2,NULL,Display2_042
649405_0_3_34500_61101-D2,NULL,Display2_043
649405_0_3_34500_64910-D2,NULL,Display2_044
649405_88_6_99998_59462-D2,NULL,Display2_045
649405_88_6_99998_59487-D2,NULL,Display2_046
649405_88_6_99998_59510-D2,NULL,Display2_047
649405_0_1_25293_60025-F1,NULL,Feature1_001
649405_0_1_25293_60027-F1,NULL,Feature1_002
649405_0_1_25293_60029-F1,NULL,Feature1_003
649405_0_1_25293_60031-F1,NULL,Feature1_004
649405_0_1_25293_60039-F1,NULL,Feature1_005
649405_0_1_28000_50420-F1,NULL,Feature1_006
649405_0_1_28000_58454-F1,NULL,Feature1_007
649405_0_1_34000_81510-F1,NULL,Feature1_008
649405_0_1_34500_61418-F1,NULL,Feature1_009
