,0_1_25293_60025,0_1_25293_60027,0_1_25293_60039,0_1_28000_58454,0_1_49900_27268,0_2_25293_60037,0_2_28000_24610,7_1_42365_22800,7_1_42365_22820,7_1_42365_22840,7_1_42365_26400,7_1_42365_26410,7_1_42365_26420,7_1_42365_26440,88_6_99998_59442,88_6_99998_59443,88_6_99998_59444,88_6_99998_59461,88_6_99998_59486,88_6_99998_59492,88_6_99998_59494,88_6_99998_59504,88_6_99998_59509,88_6_99998_59518,88_6_99998_59519,88_6_99998_59520,88_6_99998_59525,88_6_99998_59546,88_6_99998_59547,88_6_99998_59548,88_6_99998_59549,88_6_99998_59597,88_6_99998_59601,88_6_99998_59649,88_6_99998_59651,88_6_99998_59689
Discount,0.0,0.0,0.0,0.21529601310524007,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
Feature,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.9800830926548005,0.0,26.10928644666114,0.0,0.0,0.0,-0.0,-0.0,0.30976315831020745,-0.0,0.0,0.0,5.004135525209263,-0.0,-0.0,8.207573954366126,4.154206044636429,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
Display,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Discountlag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
Featurelag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,6.498107581673093,-4.666622247759042,-0.0,0.0,1.5155242162521345,0.0,0.0,0.0,0.0,0.0,0.0
Displaylag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saleslag,0.34197952090737194,0.36477188548782474,0.25644735694808757,0.18053723223887846,0.10860869811850296,0.33598162859598685,0.3757291758173156,0.4129816617784226,0.50224846252969,0.49627729719846947,0.46338471218021005,0.314083187688966,0.48553788342528226,0.44081923806027407,0.03113481577194643,0.1242902635966791,0.21694779943496412,0.208721460029497,0.20988043887305127,0.27850983344217606,0.2594484542330349,0.03594646436333271,0.45314180673473403,0.09711838985060331,0.14030647248332892,0.15671524717814914,0.3038587121876078,0.07093322655455454,0.25292220705408575,0.21655299881979287,0.014271413736693828,0.35941484658233847,0.28148711451387753,-0.0,0.0,0.35617311309533933
Sales_mov_avg,0.32818362221072717,0.015101114592325252,0.32649605047959984,0.0,0.601132788206007,0.33531966781978273,0.11109124929873693,0.5119710765524835,0.41338039832482654,0.3288798782397489,0.25822702962992056,0.4201290526021376,0.18399560455785965,0.3082342861210115,0.3457917957716918,0.8059818570888101,0.6696487412168451,0.7603354059833551,0.700411839653416,0.4033063404699126,0.6231782300623544,0.8764836096135039,0.5205454195809109,0.6111988381512136,0.8118310598205504,0.7493709620710233,0.5738618679902178,0.6976377464263024,0.660460016885932,0.581643885504562,0.9654319453043703,0.4944177147992686,0.4000603795630443,0.5869378313128598,0.6397033860003267,0.3941051319239518
Halloween,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
Halloween_1,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
Thanksgiving,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0
Thanksgiving_1,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Christmas,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.9100967416610242,-12.476972218550547,-31.08206090245497,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-7.14800033750648,0.0,0.0,0.0,-2.419085505061315,-0.0,-0.0,0.0,-0.0,-0.0
Christmas_1,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0
NewYear,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
President,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
President_1,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0
Easter,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0
Easter_1,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0
Memorial,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
Memorial_1,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
4thJuly,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
4thJuly_1,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
Labour,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
Labour_1,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
0_1_25293_60025_Discount,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0_1_25293_60025_Display,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_1_25293_60025_Feature,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
0_1_25293_60025_Sales,0.0,0.0,0.07900853100603573,0.0012289437080566495,-0.041780750344372196,0.017648388863573585,0.0,-0.0,-0.0,-0.04373262298524201,-0.10923681090024581,-0.06210202311142794,0.0,0.058139835225032084,-0.038944738757797415,-0.31775944387062854,0.27825030492243347,0.053782973134481445,-0.11864990299673345,-0.0,0.3782359800084687,-0.09990358023777664,-0.222872288654844,0.09787263675285898,-0.037357309331007046,-0.14753578155301922,0.49248110320696015,0.04874471168030421,-0.008948086869718494,-0.25292093746371924,0.38089298331907395,-0.05074349144744374,0.0,0.026835260222803105,-0.06883205727656834,-0.015300729406671518
0_1_25293_60027_Discount,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
0_1_25293_60027_Display,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_1_25293_60027_Feature,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0
0_1_25293_60027_Sales,-0.005582477509397894,0.0,0.058916213279832354,0.0006680058544937987,0.027270729719749094,-0.0,-0.07868906228664455,0.0,0.07066534579349931,0.08785364871188132,-0.01725609505248593,0.30662983482048134,0.4248693340594464,0.1985299402053265,0.0,-0.12884921128840687,0.24500031304347528,-0.1435823027996199,-0.06370272549357277,-0.023516648405374947,0.2385473273749982,0.12045077634401077,0.11851991756169546,0.05233645567894851,-0.2396349898355175,-0.3221667552379914,0.3258889304209078,0.0008000729548810076,0.19526421996977933,-0.1174777431857219,-0.2333910149008426,-0.11144978412438865,0.0,0.0364831558490486,-0.0,0.0
0_1_25293_60039_Discount,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0_1_25293_60039_Display,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_1_25293_60039_Feature,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0
0_1_25293_60039_Sales,-0.03180724407028604,0.0,0.0,-0.0,-0.0,-0.0,0.13686286520778423,0.06824029072748515,0.17953804882340388,0.06656477622034697,-0.1344577144830832,-0.2334620345123569,-0.4906637918874811,-0.27044917217177034,0.0,-0.043617079944957365,-0.09154330808652766,0.023155312448149497,-0.2337363537457687,0.0,-0.031761607384164156,0.09276105767370793,0.06833227515710373,0.005782864666708767,0.0951603886722888,0.44351070058917497,0.0,0.01667726377677826,-0.0516058930266352,0.03154654833372409,0.20283732977603947,0.12613383706142411,-0.0,-0.06734411713634911,-0.024933557667195672,0.026061877186554533
0_1_28000_58454_Discount,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
0_1_28000_58454_Display,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_1_28000_58454_Feature,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
0_1_28000_58454_Sales,0.0,-0.0603730207674652,0.0,0.0,-0.05885659369891557,-0.026462468269308093,0.0,0.021981237110943207,-0.029471638679225313,-0.059826780343198764,0.03870972455540386,0.07279658089134722,0.12702644820999515,0.08213925248770487,-0.0,0.1152711334829721,-0.7815879904300382,-0.2976344817683762,-0.5182376728536833,0.0,-0.2900420426422897,0.10275672261495153,0.21145371536539034,0.007452026625281561,-0.15017248071599298,-0.5544566136666466,-0.5945831249767772,-0.0838374394456653,-0.09549880723490711,-0.4396919636519975,-0.23264793578840945,-0.08595751751377223,-0.0,-0.014082074861341222,0.0,-0.10900476600943236
0_1_49900_27268_Discount,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
0_1_49900_27268_Display,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_1_49900_27268_Feature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_1_49900_27268_Sales,0.0,0.04653402057606521,-0.0,-0.03366784949951071,0.0,0.012313497336134604,0.059985591529838844,0.009759401335013202,0.11204021908043246,0.00800692831913236,0.226832233280997,-0.0,0.1910553364191868,0.024289542738916845,0.010217798770586166,0.10389854594596863,0.30827317785178837,0.6360550186127258,0.5473866445026092,0.1017698079673402,0.052835635173989356,-0.04636301987573668,0.1579255780878502,-0.020472442216640987,0.17786605770633104,0.0,1.1208937628097013,0.07172596907965952,0.07552102335230745,-0.3322265034278538,0.308221033885945,0.014884301710548628,0.048287730079087036,0.0,0.046238148009046305,0.13014433157277505
0_2_25293_60037_Discount,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
