SKU,Year,med_price
0_1_25293_60025,2001,2.47856535183243
0_1_25293_60025,2002,2.19
0_1_25293_60025,2003,2.49
0_1_25293_60025,2004,2.59
0_1_25293_60025,2005,2.99
0_1_25293_60025,2006,2.99
0_1_25293_60025,2007,2.99
0_1_25293_60027,2001,3.82812231308547
0_1_25293_60027,2002,3.59
0_1_25293_60027,2003,4.09
0_1_25293_60027,2004,4.19
0_1_25293_60027,2005,4.39
0_1_25293_60027,2006,4.49
0_1_25293_60027,2007,4.29
0_1_25293_60039,2001,3.90003509262343
0_1_25293_60039,2002,3.90003509262343
0_1_25293_60039,2003,4.09
0_1_25293_60039,2004,4.19
0_1_25293_60039,2005,4.39
0_1_25293_60039,2006,4.49
0_1_25293_60039,2007,4.29
0_1_28000_58454,2001,1.47367959313414
0_1_28000_58454,2002,1.49
0_1_28000_58454,2003,1.79
0_1_28000_58454,2004,1.79
0_1_28000_58454,2005,2.0
0_1_28000_58454,2006,2.0
0_1_28000_58454,2007,2.19
0_1_49900_27268,2001,1.69
0_1_49900_27268,2002,1.89011738261738
0_1_49900_27268,2003,1.89
0_1_49900_27268,2004,1.99
0_1_49900_27268,2005,2.09
0_1_49900_27268,2006,2.09
0_1_49900_27268,2007,2.19
0_2_25293_60037,2001,2.48667407592408
0_2_25293_60037,2002,2.19
0_2_25293_60037,2003,2.49
0_2_25293_60037,2004,2.59
0_2_25293_60037,2005,2.99
0_2_25293_60037,2006,2.99
0_2_25293_60037,2007,2.99
0_2_28000_24610,2001,3.59
0_2_28000_24610,2002,3.69
0_2_28000_24610,2003,3.99
0_2_28000_24610,2004,3.99
0_2_28000_24610,2005,4.39
0_2_28000_24610,2006,4.49
0_2_28000_24610,2007,4.57888888888889
7_1_42365_22800,2001,6.25839354645152
7_1_42365_22800,2002,5.99
7_1_42365_22800,2003,5.99
7_1_42365_22800,2004,6.29
7_1_42365_22800,2005,6.79
7_1_42365_22800,2006,6.59
7_1_42365_22800,2007,6.59
7_1_42365_22820,2001,6.25339893746478
7_1_42365_22820,2002,5.99
7_1_42365_22820,2003,5.99
7_1_42365_22820,2004,6.29
7_1_42365_22820,2005,6.79
7_1_42365_22820,2006,6.59
