IRI Week,Year,Calendar week starting on,Calendar week ending on,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sep,Oct,Nov,Dec,Halloween,Halloween_1,Thanksgiving,Thanksgiving_1,Christmas,Christmas_1,NewYear,President,President_1,Easter,Easter_1,Memorial,Memorial_1,4thJuly,4thJuly_1,Labour,Labour_1
1114,2001,1-Jan-01,7-Jan-01,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1115,2001,8-Jan-01,14-Jan-01,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1116,2001,15-Jan-01,21-Jan-01,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1117,2001,22-Jan-01,28-Jan-01,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1118,2001,29-Jan-01,4-Feb-01,,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1119,2001,5-Feb-01,11-Feb-01,,1,,,,,,,,,,,0,,,,,,,,1,,,,,,,,
1120,2001,12-Feb-01,18-Feb-01,,1,,,,,,,,,,,0,,,,,,,1,,,,,,,,,
1121,2001,19-Feb-01,25-Feb-01,,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1122,2001,26-Feb-01,4-Mar-01,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,
1123,2001,5-Mar-01,11-Mar-01,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,
1124,2001,12-Mar-01,18-Mar-01,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,
1125,2001,19-Mar-01,25-Mar-01,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,
1126,2001,26-Mar-01,1-Apr-01,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,
1127,2001,2-Apr-01,8-Apr-01,,,,1,,,,,,,,,0,,,,,,,,,,1,,,,,,
1128,2001,9-Apr-01,15-Apr-01,,,,1,,,,,,,,,0,,,,,,,,,1,,,,,,,
1129,2001,16-Apr-01,22-Apr-01,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,
1130,2001,23-Apr-01,29-Apr-01,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,
1131,2001,30-Apr-01,6-May-01,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,
1132,2001,7-May-01,13-May-01,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,
1133,2001,14-May-01,20-May-01,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,
1134,2001,21-May-01,27-May-01,,,,,1,,,,,,,,0,,,,,,,,,,,,1,,,,
1135,2001,28-May-01,3-Jun-01,,,,,1,,,,,,,,0,,,,,,,,,,,1,,,,,
1136,2001,4-Jun-01,10-Jun-01,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,
1137,2001,11-Jun-01,17-Jun-01,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,
1138,2001,18-Jun-01,24-Jun-01,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,
1139,2001,25-Jun-01,1-Jul-01,,,,,,1,,,,,,,0,,,,,,,,,,,,,,1,,
1140,2001,2-Jul-01,8-Jul-01,,,,,,,1,,,,,,0,,,,,,,,,,,,,1,,,
1141,2001,9-Jul-01,15-Jul-01,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,
1142,2001,16-Jul-01,22-Jul-01,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,
1143,2001,23-Jul-01,29-Jul-01,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,
1144,2001,30-Jul-01,5-Aug-01,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,
1145,2001,6-Aug-01,12-Aug-01,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,
1146,2001,13-Aug-01,19-Aug-01,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,
1147,2001,20-Aug-01,26-Aug-01,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,
1148,2001,27-Aug-01,2-Sep-01,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,1
1149,2001,3-Sep-01,9-Sep-01,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,1,
1150,2001,10-Sep-01,16-Sep-01,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,
1151,2001,17-Sep-01,23-Sep-01,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,
1152,2001,24-Sep-01,30-Sep-01,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,
1153,2001,1-Oct-01,7-Oct-01,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,
1154,2001,8-Oct-01,14-Oct-01,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,
1155,2001,15-Oct-01,21-Oct-01,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,
1156,2001,22-Oct-01,28-Oct-01,,,,,,,,,,1,,,0,1,,,,,,,,,,,,,,,
1157,2001,29-Oct-01,4-Nov-01,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,
