SKU,Mean,Std_deviation
0_1_25293_60025,1.094074146,0.144465964
0_1_25293_60027,1.089784123,0.137319697
0_1_25293_60039,1.082995107,0.136597301
0_1_28000_58454,1.295553513,0.327984594
0_1_49900_27268,1.058206048,0.099520945
0_2_25293_60037,1.089497062,0.130280069
0_2_28000_24610,1.103531479,0.135149167
7_1_42365_22800,1.016682814,0.039171031
7_1_42365_22820,1.017491849,0.039956491
7_1_42365_22840,1.017495531,0.040392169
7_1_42365_26400,1.063415722,0.087749923
7_1_42365_26410,1.061156993,0.086965779
7_1_42365_26420,1.061788794,0.088188592
7_1_42365_26440,1.062215579,0.088770124
88_6_99998_59442,1.047798644,0.088380322
88_6_99998_59443,1.068277355,0.092475988
88_6_99998_59444,1.043143128,0.063384135
88_6_99998_59461,1.107499465,0.09863139
88_6_99998_59486,1.089163024,0.083520288
88_6_99998_59492,1.06743112,0.11835379
88_6_99998_59494,1.058762079,0.089716684
88_6_99998_59504,1.05629074,0.089627617
88_6_99998_59509,1.066218233,0.082580547
88_6_99998_59518,1.067500619,0.118384401
88_6_99998_59519,1.054757626,0.0734005
88_6_99998_59520,1.05128174,0.075273868
88_6_99998_59525,1.101162082,0.108043909
88_6_99998_59546,1.08745243,0.145175198
88_6_99998_59547,1.061246346,0.096360607
88_6_99998_59548,1.060531464,0.078542957
88_6_99998_59549,1.07786428,0.080356808
88_6_99998_59597,1.275508008,0.291000476
88_6_99998_59601,1.094555899,0.116460048
88_6_99998_59649,1.038642325,0.097359466
88_6_99998_59651,1.011794101,0.045402613
88_6_99998_59689,1.287563063,0.296775946
