"mayo_SS1","mayo_SS2","mayo_SS3","mayo_SS4","mayo_SS5","mayo_SS6","mayo_SS7","mayo_SS8","mayo_SS9","mayo_SS10","mayo_SS11","mayo_SS12","mayo_SS13","mayo_SS14","mayo_SS15","mayo_SS16","mayo_SS17","mayo_PR1","mayo_PR2","mayo_PR3","mayo_PR4","mayo_PR5","mayo_PR6","mayo_PR7","mayo_PR8","mayo_PR9","mayo_PR10","mayo_PR11","mayo_PR12","mayo_PR13","mayo_PR14","mayo_PR15","mayo_PR16","mayo_PR17","mayo_price1","mayo_price2","mayo_price3","mayo_price4","mayo_price5","mayo_price6","mayo_price7","mayo_price8","mayo_price9","mayo_price10","mayo_price11","mayo_price12","mayo_price13","mayo_price14","mayo_price15","mayo_price16","mayo_price17","mayo_D11","mayo_D12","mayo_D13","mayo_D14","mayo_D15","mayo_D16","mayo_D17","mayo_D18","mayo_D19","mayo_D110","mayo_D111","mayo_D112","mayo_D113","mayo_D114","mayo_D115","mayo_D116","mayo_D117","mayo_D21","mayo_D22","mayo_D23","mayo_D24","mayo_D25","mayo_D26","mayo_D27","mayo_D28","mayo_D29","mayo_D210","mayo_D211","mayo_D212","mayo_D213","mayo_D214","mayo_D215","mayo_D216","mayo_D217","mayo_F11","mayo_F12","mayo_F13","mayo_F14","mayo_F15","mayo_F16","mayo_F17","mayo_F18","mayo_F19","mayo_F110","mayo_F111","mayo_F112","mayo_F113","mayo_F114","mayo_F115","mayo_F116","mayo_F117","mayo_F21","mayo_F22","mayo_F23","mayo_F24","mayo_F25","mayo_F26","mayo_F27","mayo_F28","mayo_F29","mayo_F210","mayo_F211","mayo_F212","mayo_F213","mayo_F214","mayo_F215","mayo_F216","mayo_F217","mayo_F31","mayo_F32","mayo_F33","mayo_F34","mayo_F35","mayo_F36","mayo_F37","mayo_F38","mayo_F39","mayo_F310","mayo_F311","mayo_F312","mayo_F313","mayo_F314","mayo_F315","mayo_F316","mayo_F317","mayo_F41","mayo_F42","mayo_F43","mayo_F44","mayo_F45","mayo_F46","mayo_F47","mayo_F48","mayo_F49","mayo_F410","mayo_F411","mayo_F412","mayo_F413","mayo_F414","mayo_F415","mayo_F416","mayo_F417"
46,4,17,19,8,7,13,33,28,17,14,18,15,25,6,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29,6,3,2.19,3,3.89,1.99,1.19,2.19,3,3,3,3,3.69,4,2.09,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,4,17,10,8,6,43,47,26,17,14,18,15,22,2,28,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.29,6,3,2.19,3,3.89,1,1.19,2.19,3,3,3,3,3.69,3.89,2.09,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2,17,18,8,9,21,45,28,17,14,18,15,18,4,26,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.29,5.99,3,2.19,3,3.89,1,1.19,2.19,3,3,3,3,3.69,3.89,2.09,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,5,17,20,8,12,11,28,24,17,14,18,15,45,4,24,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1.29,5.99,3,2.19,3,2.789167,1.99,1.19,2.19,3,3,3,3,2.789778,3.44,2.09,3.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1,17,19,8,15,15,34,37,17,14,18,15,36,8,29,12,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1.29,5.99,3,2.19,3,3.37,1.99,1.19,2.19,3,3,3,3,3.4,3.52,2.09,3.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,4,17,29,8,11,15,24,20,17,14,18,15,23,6,34,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29,5.99,3,2.19,3,3.89,1.99,1.19,2.19,3,3,3,3,3.69,3.89,2.09,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2,17,18,8,3,11,45,16,17,14,18,15,20,5,23,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29,5.99,3,2.19,3,3.89,1.99,1.19,2.19,3,3,3,3,3.69,3.89,2.09,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,3,17,15,8,5,9,45,25,17,14,18,15,27,8,25,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29,5.99,3,2.19,3,3.89,1.99,1.19,2.19,3,3,3,3,3.69,3.89,2.09,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,3,17,26,8,5,13,52,32,17,14,18,15,44,11,30,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.31,6.19,3,2.31,3,3.89,2.02,1.22,2.23,3,3,3,3,3.69,3.54,2.19,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,3,17,27,8,10,11,36,27,17,14,18,15,41,9,25,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.39,6.59,3,2.39,3,3.89,2.19,1.29,2.39,3,3,3,3,3.69,3.89,2.39,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
